param,accuracy,precision,recall,f1
"{'sampling_strategy': {0: 500, 1: 500, 3: 500}, 'n_neighbors': 3}",0.9515151515151515,0.9402548332179718,0.9515151515151515,0.9425768014462096
"{'sampling_strategy': {0: 500, 1: 500, 3: 500}, 'n_neighbors': 5}",0.946969696969697,0.9352692162485351,0.946969696969697,0.9377327452363508
"{'sampling_strategy': {0: 500, 1: 500, 3: 500}, 'n_neighbors': 7}",0.9454545454545454,0.9334769882613114,0.9454545454545454,0.9359868600960957
"{'sampling_strategy': {0: 1000, 1: 1000, 3: 1000}, 'n_neighbors': 3}",0.9484848484848485,0.9288676359421377,0.9484848484848485,0.9385704165074502
"{'sampling_strategy': {0: 1000, 1: 1000, 3: 1000}, 'n_neighbors': 5}",0.9462121212121212,0.9256526364338598,0.9462121212121212,0.9356904520674965
"{'sampling_strategy': {0: 1000, 1: 1000, 3: 1000}, 'n_neighbors': 7}",0.9477272727272728,0.9280584441647055,0.9477272727272728,0.9377091205172767
"{'sampling_strategy': {0: 1500, 1: 1500, 3: 1500}, 'n_neighbors': 3}",0.946969696969697,0.9269685608112359,0.946969696969697,0.9366711898655815
"{'sampling_strategy': {0: 1500, 1: 1500, 3: 1500}, 'n_neighbors': 5}",0.95,0.931672659430122,0.95,0.9407399254063069
"{'sampling_strategy': {0: 1500, 1: 1500, 3: 1500}, 'n_neighbors': 7}",0.9492424242424242,0.9306898229575805,0.9492424242424242,0.9398415504794858
